Unnamed: 0,TxnDate,TxnTime,Consumption,anomaly,cluster
-0.3101213900018476,02 Jan 2022,13:43:32,-0.09955333214344264,1,0
-0.3054986875560834,02 Jan 2022,17:26:47,2.267461019340334,1,2
-0.3008759851103192,02 Jan 2022,06:27:10,-0.7197287920806645,1,0
-0.2962532826645551,02 Jan 2022,14:42:57,0.8977650529367219,1,2
-0.2916305802187909,02 Jan 2022,17:47:02,0.6070790799474866,1,2
-0.2870078777730267,02 Jan 2022,10:57:55,0.4824993772378139,1,2
-0.2823851753272626,02 Jan 2022,07:29:02,-0.7101981044416731,1,0
-0.2777624728814984,02 Jan 2022,03:21:57,-0.6782022245107736,1,0
-0.27313977043573423,02 Jan 2022,03:41:38,-0.7578515426366298,1,0
-0.2685170679899701,02 Jan 2022,11:19:09,0.7479971043240011,1,2
