id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,anomaly,cluster
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,-0.3380137325904321,-0.36455252212657807,-1.36838855911794,-0.21666087539492,-0.1758825202659344,-0.3382189230474011,-0.33798010478697704,0.3221866060775143,-0.3250419668856883,0.07877612495149063,-0.3020776342666415,-0.09298586763149651,-0.25253506455737523,-1.105063536945555,-0.38388495962362557,-0.9550093385730886,2021-09-02T06:00:10.474Z,-0.7729243662582059,1.838635885055399,2020-03-13T02:22:55.044Z,None,2025-09-20T05:09:03.179Z,1,0
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,-0.3033882541049688,3.057533413093532,-1.3337458107858404,2.068745750207963,-0.6504903219054862,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.2218494768721236,-1.0649075958690306,0.5074788835353352,-0.6882508261408752,-0.6782725577241865,0.9043797088775835,-0.3489524898558726,0.43788952251893104,2022-05-13T15:09:54.509Z,-0.08265869060421843,-0.07556774006657012,2022-05-13T01:36:45.053Z,None,2025-09-20T05:09:00.819Z,1,2
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,0.014642819645677799,2.763656160746465,-1.2991030624537407,3.3181075803508504,-0.1758825202659344,0.026007685743987888,0.01796859939596329,-1.1964193554465203,-1.4864395938208477,0.07877612495149063,-1.2990194127046324,-0.43505750530274423,-0.43640537906900106,-1.113235263017104,-0.0544173122513397,-0.4846672420079992,2021-05-10T00:13:57.214Z,-0.6141561647592306,-0.27243787371565165,2017-11-29T00:00:00.000Z,None,2025-09-20T05:09:03.613Z,1,0
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,-0.3033882541049688,2.6087323719454987,-1.2644603141216408,1.7149427597904405,-0.8654971807084763,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.21310535170943876,-1.9570654650683554,0.14510650633136957,-0.6882437637120087,-0.6782679897723888,0.9043797088775835,-0.3489524898558726,0.9134916855925781,2025-08-24T19:27:46.809Z,-0.08265869060421843,-0.4143574493197699,2025-04-09T03:57:40.245Z,None,2025-09-20T05:09:00.361Z,1,2
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,0.5271262834782883,2.596052149257949,-1.2298175657895412,-0.21666087539492,1.657219763274177,0.5222164219850414,0.5236602252969746,-1.1678453971724236,0.14575244890689165,-2.2815342421284144,0.035467511014007906,-0.5878566237704599,-0.4364453620174016,-1.113235263017104,-0.010585696192942504,1.039243351295173,2025-09-18T03:30:30.650Z,3.8951044572311364,0.1852382344347303,2024-11-29T09:30:30.871Z,None,2025-09-20T05:08:54.986Z,1,0
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,-0.3033882541049688,2.4717027704541756,-1.1951748174574415,1.6069183161319862,-0.07766655080727271,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.6265149238159865,-1.1082497874934758,0.4004391663420597,-0.6893830063078293,-0.6790048474968366,-1.1134209604335477,-0.3489524898558726,0.9983961554427929,2025-08-14T00:40:53.782Z,-0.08265869060421843,1.3342469171606521,2019-04-02T00:00:00.000Z,None,2025-09-20T05:09:01.281Z,1,2
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,0.17910114391959003,2.3757295329064054,-1.1605320691253416,1.7698481655653222,-0.1758825202659344,0.1771736425884035,0.17819399871087363,-0.743860570677069,-0.08014557009400247,-2.5587589335360876,-0.12431589144718518,-0.5310236182192174,-0.5678918556668284,-1.1132872649102865,0.5582955510134677,-1.1248340824832859,2021-11-21T14:18:56.538Z,2.6513631047249158,0.049122101311413244,2020-12-31T13:15:21.540Z,None,2025-09-20T05:09:02.201Z,1,0
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,-0.3363425697499508,2.3095178146776463,-1.1258893207932419,1.4790631707702735,0.07548346844954919,-0.33700416501114866,-0.3362159946419311,0.3552067465066107,1.2802600641997,1.848252632313488,1.4532808963415014,4.57451840059577,2.72566631441244,0.9043797088775835,-0.39755245444910764,1.112725632463085,2023-12-20T15:38:34.596Z,0.34796150844588575,-0.5254592151905185,2024-10-04T07:57:15.809Z,None,2025-09-20T05:08:54.072Z,1,2
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,-0.2943822030137783,2.077468517814455,-1.0912465724611422,-0.21666087539492,-0.1758825202659344,-0.293408574227966,-0.2947242500575425,0.11362913463912042,-1.4749796749098638,0.07877612495149063,-1.2783128617756512,0.6493331636019226,1.7472676813556747,-1.111563773593378,-0.3688759517005986,0.25469228965570717,2025-01-04T22:56:18.063Z,-0.34735147895917595,-0.05676195815157229,2023-10-19T10:40:30.078Z,None,2025-09-20T05:08:59.976Z,1,0
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,-0.3363985012429015,1.9286666253891158,-1.0566038241290423,1.1788270364474323,-0.8012734873582252,-0.3363635020255315,-0.3362465197970575,0.3038175149380014,-0.9287641349773013,-3.369990593145177,-0.6101333503537884,4.021357194784554,2.367883776380397,0.9043797088775835,-0.3973930667543498,1.0334356081327514,2025-08-30T12:40:04.527Z,0.2915473709795342,-0.5227910282306434,2025-09-06T20:28:04.023Z,None,2025-09-20T05:08:53.980Z,1,0
